state_code,state_name,district_code,district_name
"01","ANDAMAN AND NICOBAR","0102","NICOBARS"
"02","ANDHRA PRADESH","0203","VISAKHAPATANAM"
"02","ANDHRA PRADESH","0206","KRISHNA"
"02","ANDHRA PRADESH","0218","NTR"
"02","ANDHRA PRADESH","0222","SRI SATHYA SAI"
"02","ANDHRA PRADESH","0225","PARVATHIPURAM MANYAM"
"03","ARUNACHAL PRADESH","0301","TAWANG"
"03","ARUNACHAL PRADESH","0311","TIRAP"
"03","ARUNACHAL PRADESH","0316","KURUNG KUMEY"
"03","ARUNACHAL PRADESH","0317","ANJAW"
"03","ARUNACHAL PRADESH","0326","LOWER SIANG"
"04","ASSAM","0403","BONGAIGAON"
"04","ASSAM","0408","DARRANG"
"04","ASSAM","0414","GOLAGHAT"
"04","ASSAM","0415","JORHAT"
"04","ASSAM","0417","DIBRUGARH"
"04","ASSAM","0421","KARIMGANJ"
"04","ASSAM","0422","HAILAKANDI"
"04","ASSAM","0424","BAKSA"
"04","ASSAM","0426","KAMRUP (METRO)"
"04","ASSAM","0429","HOJAI"
"04","ASSAM","0433","BAJALI"
"04","ASSAM","0435","TAMULPUR"
"05","BIHAR","0503","BHOJPUR"
"05","BIHAR","0506","JEHANABAD"
"05","BIHAR","0509","SARAN"
"05","BIHAR","0511","GOPALGANJ"
"05","BIHAR","0513","PURBI CHAMPARAN"
"05","BIHAR","0515","MUZAFFARPUR"
"05","BIHAR","0521","SAHARSA"
"05","BIHAR","0526","MUNGER"
"05","BIHAR","0544","SUPAUL"
"10","GOA","1001","NORTH GOA"
"10","GOA","1002","SOUTH GOA"
"11","GUJARAT","1101","JAMNAGAR"
"11","GUJARAT","1103","SURENDRANAGAR"
"11","GUJARAT","1104","BHAVNAGAR"
"11","GUJARAT","1108","BANAS KANTHA"
"11","GUJARAT","1109","SABAR KANTHA"
"12","HARYANA","1204","KAITHAL"
"12","HARYANA","1206","PANIPAT"
"12","HARYANA","1217","PANCHKULA"
"12","HARYANA","1219","MEWAT"
"13","HIMACHAL PRADESH","1303","HAMIRPUR"
"14","JAMMU AND KASHMIR","1418","SAMBA"
"14","JAMMU AND KASHMIR","1420","GANDERBAL"
"14","JAMMU AND KASHMIR","1421","KULGAM"
"15","KARNATAKA","1504","BELAGAVI"
"15","KARNATAKA","1513","DHARWAR"
"15","KARNATAKA","1526","UDUPI"
"15","KARNATAKA","1527","UTTARA KANNADA"
"15","KARNATAKA","1530","Yadgir"
"16","KERALA","1602","KANNUR"
"16","KERALA","1604","KOZHIKODE"
"16","KERALA","1607","THRISSUR"
"16","KERALA","1608","ERNAKULAM"
"17","MADHYA PRADESH","1708","CHHATARPUR"
"17","MADHYA PRADESH","1710","SAGAR"
"17","MADHYA PRADESH","1712","SATNA"
"17","MADHYA PRADESH","1723","INDORE"
"17","MADHYA PRADESH","1725","KHANDWA"
"17","MADHYA PRADESH","1740","UMARIA"
"17","MADHYA PRADESH","1742","BARWANI"
"17","MADHYA PRADESH","1743","HARDA"
"17","MADHYA PRADESH","1749","ALIRAJPUR"
"17","MADHYA PRADESH","1750","SINGRAULI"
"17","MADHYA PRADESH","1752","NIWARI"
"18","MAHARASHTRA","1802","THANE"
"18","MAHARASHTRA","1808","JALGAON"
"18","MAHARASHTRA","1809","AHMEDNAGAR"
"18","MAHARASHTRA","1810","PUNE"
"18","MAHARASHTRA","1816","JALNA"
"18","MAHARASHTRA","1817","PARBHANI"
"20","MANIPUR","2009","IMPHAL EAST"
"20","MANIPUR","2010","JIRIBAM"
"20","MANIPUR","2012","KAKCHING"
"20","MANIPUR","2014","NONEY"
"21","MEGHALAYA","2101","WEST JAINTIA HILLS"
"21","MEGHALAYA","2102","EAST KHASI HILLS"
"21","MEGHALAYA","2111","SOUTH WEST KHASI HILLS"
"22","MIZORAM","2208","LAWNGTLAI"
"22","MIZORAM","2210","KHAWZAWL"
"22","MIZORAM","2211","SAITUAL"
"23","NAGALAND","2306","TUENSANG"
"24","ODISHA","2409","BOLANGIR"
"24","ODISHA","2414","BARGARH"
"24","ODISHA","2421","ANGUL"
"24","ODISHA","2424","GAJAPATI"
"26","PUNJAB","2601","GURDASPUR"
"26","PUNJAB","2605","JALANDHAR"
"26","PUNJAB","2606","KAPURTHALA"
"26","PUNJAB","2612","FARIDKOT"
"26","PUNJAB","2614","NAWANSHAHR"
"26","PUNJAB","2617","MANSA"
"26","PUNJAB","2622","Pathankot"
"27","RAJASTHAN","2701","SRI GANGANAGAR"
"27","RAJASTHAN","2703","BIKANER"
"27","RAJASTHAN","2711","DAUSA"
"27","RAJASTHAN","2714","NAGAUR"
"27","RAJASTHAN","2715","JODHPUR"
"27","RAJASTHAN","2729","CHITTORGARH"
"27","RAJASTHAN","2730","KOTA"
"27","RAJASTHAN","2732","JHALAWAR"
"28","SIKKIM","2806","PAKYONG"
"29","TAMIL NADU","2905","VELLORE"
"29","TAMIL NADU","2906","TIRUVANNAMALAI"
"29","TAMIL NADU","2912","THE NILGIRIS"
"29","TAMIL NADU","2921","THENI"
"29","TAMIL NADU","2925","SIVAGANGAI"
"29","TAMIL NADU","2933","CHENGALPATTU"
"29","TAMIL NADU","2934","Ranipet"
"30","TRIPURA","3003","NORTH TRIPURA"
"30","TRIPURA","3004","DHALAI"
"31","UTTAR PRADESH","3110","MORADABAD"
"31","UTTAR PRADESH","3116","GHAZIABAD"
"31","UTTAR PRADESH","3118","ALIGARH"
"31","UTTAR PRADESH","3124","BUDAUN"
"31","UTTAR PRADESH","3125","BAREILLY"
"31","UTTAR PRADESH","3126","PILIBHIT"
"31","UTTAR PRADESH","3129","SITAPUR"
"31","UTTAR PRADESH","3130","HARDOI"
"31","UTTAR PRADESH","3135","ETAWAH"
"31","UTTAR PRADESH","3143","FATEHPUR"
"31","UTTAR PRADESH","3147","GONDA"
"31","UTTAR PRADESH","3149","AYODHYA"
"31","UTTAR PRADESH","3150","SULTANPUR"
"31","UTTAR PRADESH","3173","SANT RAVIDAS NAGAR"
"31","UTTAR PRADESH","3177","CHITRAKOOT"
"31","UTTAR PRADESH","3181","AMETHI"
"32","WEST BENGAL","3202","PASCHIM BARDHAMAN"
"32","WEST BENGAL","3208","COOCHBEHAR"
"33","CHHATTISGARH","3316","RAIPUR"
"33","CHHATTISGARH","3317","BIJAPUR"
"33","CHHATTISGARH","3322","BALOD"
"33","CHHATTISGARH","3326","SURAJPUR"
"33","CHHATTISGARH","3328","GAURELA PENDRA MARWAHI"
"33","CHHATTISGARH","3330","MOHLA MANPUR AMBAGARH CHOWKI"
"33","CHHATTISGARH","3333","MANENDRAGARH CHIRMIRI BHARATPUR"
"34","JHARKHAND","3404","SIMDEGA"
"34","JHARKHAND","3405","PALAMU"
"34","JHARKHAND","3411","DUMKA"
"34","JHARKHAND","3419","GIRIDIH"
"34","JHARKHAND","3420","BOKARO"
"35","UTTARAKHAND","3507","ALMORA"
"35","UTTARAKHAND","3509","UDAM SINGH NAGAR"
"36","TELANGANA","3620","Karimnagar"
"36","TELANGANA","3623","Nalgonda"
"36","TELANGANA","3627","Jangaon"
"36","TELANGANA","3636","Nirmal"
"36","TELANGANA","3639","Rangareddy"
"36","TELANGANA","3640","Siddipet"
"02","ANDHRA PRADESH","0201","SRIKAKULAM"
"02","ANDHRA PRADESH","0220","PALNADU"
"02","ANDHRA PRADESH","0225","PARVATHIPURAM MANYAM"
"02","ANDHRA PRADESH","0226","KAKINADA"
"03","ARUNACHAL PRADESH","0301","TAWANG"
"03","ARUNACHAL PRADESH","0303","EAST KAMENG"
"03","ARUNACHAL PRADESH","0304","LOWER SUBANSIRI"
"03","ARUNACHAL PRADESH","0306","WEST SIANG"
"03","ARUNACHAL PRADESH","0312","PAPUM PARE"
"03","ARUNACHAL PRADESH","0323","PAKKE KESSANG"
"03","ARUNACHAL PRADESH","0324","LEPARADA"
"03","ARUNACHAL PRADESH","0326","LOWER SIANG"
"04","ASSAM","0408","DARRANG"
"04","ASSAM","0412","Morigaon"
"04","ASSAM","0419","KARBI ANGLONG"
"04","ASSAM","0426","KAMRUP (METRO)"
"05","BIHAR","0506","JEHANABAD"
"05","BIHAR","0515","MUZAFFARPUR"
"05","BIHAR","0519","DARBHANGA"
"05","BIHAR","0522","MADHEPURA"
"05","BIHAR","0541","ARARIA"
"05","BIHAR","0549","KAIMUR (BHABUA)"
"05","BIHAR","0551","ARWAL"
"07","DN HAVELI AND DD","0701","DADRA AND NAGAR HAVELI"
"11","GUJARAT","1101","JAMNAGAR"
"11","GUJARAT","1103","SURENDRANAGAR"
"11","GUJARAT","1110","MAHESANA"
"11","GUJARAT","1111","GANDHINAGAR"
"11","GUJARAT","1115","VADODARA"
"11","GUJARAT","1116","BHARUCH"
"11","GUJARAT","1117","SURAT"
"11","GUJARAT","1118","VALSAD"
"11","GUJARAT","1119","DANG"
"11","GUJARAT","1122","ANAND"
"11","GUJARAT","1123","DOHAD"
"11","GUJARAT","1125","NAVSARI"
"11","GUJARAT","1126","TAPI"
"11","GUJARAT","1133","MAHISAGAR"
"12","HARYANA","1207","SONIPAT"
"12","HARYANA","1211","REWARI"
"12","HARYANA","1221","PALWAL"
"13","HIMACHAL PRADESH","1311","SOLAN"
"14","JAMMU AND KASHMIR","1404","BADGAM"
"14","JAMMU AND KASHMIR","1405","PULWAMA"
"14","JAMMU AND KASHMIR","1415","KISHTWAR"
"14","JAMMU AND KASHMIR","1416","RAMBAN"
"14","JAMMU AND KASHMIR","1417","REASI"
"14","JAMMU AND KASHMIR","1418","SAMBA"
"14","JAMMU AND KASHMIR","1422","SHOPIAN"
"15","KARNATAKA","1501","BAGALKOTE"
"15","KARNATAKA","1508","CHAMARAJA NAGARA"
"15","KARNATAKA","1516","HASSAN"
"15","KARNATAKA","1519","KOLAR"
"15","KARNATAKA","1529","RAMANAGARA"
"15","KARNATAKA","1531","VIJAYANAGARA"
"16","KERALA","1604","KOZHIKODE"
"16","KERALA","1606","PALAKKAD"
"16","KERALA","1607","THRISSUR"
"16","KERALA","1614","THIRUVANANTHAPURAM"
"17","MADHYA PRADESH","1713","REWA"
"17","MADHYA PRADESH","1714","SHAHDOL"
"17","MADHYA PRADESH","1715","SIDHI"
"17","MADHYA PRADESH","1719","SHAJAPUR"
"17","MADHYA PRADESH","1721","JHABUA"
"17","MADHYA PRADESH","1723","INDORE"
"17","MADHYA PRADESH","1726","RAJGARH"
"17","MADHYA PRADESH","1735","MANDLA"
"17","MADHYA PRADESH","1744","KATNI"
"17","MADHYA PRADESH","1746","ANUPPUR"
"17","MADHYA PRADESH","1748","ASHOK NAGAR"
"17","MADHYA PRADESH","1751","AGAR-MALWA"
"17","MADHYA PRADESH","1752","NIWARI"
"18","MAHARASHTRA","1804","RATNAGIRI"
"18","MAHARASHTRA","1808","JALGAON"
"18","MAHARASHTRA","1815","Chatrapati Sambhaji Nagar"
"18","MAHARASHTRA","1816","JALNA"
"18","MAHARASHTRA","1820","Dharashiv"
"20","MANIPUR","2006","BISHNUPUR"
"20","MANIPUR","2010","JIRIBAM"
"20","MANIPUR","2015","PHERZAWL"
"20","MANIPUR","2016","TENGNOUPAL"
"21","MEGHALAYA","2104","EAST GARO HILLS"
"21","MEGHALAYA","2105","WEST GARO HILLS"
"22","MIZORAM","2201","AIZAWL"
"22","MIZORAM","2207","SERCHHIP"
"22","MIZORAM","2209","HNAHTHIAL"
"23","NAGALAND","2301","KOHIMA"
"23","NAGALAND","2307","MON"
"23","NAGALAND","2309","KIPHIRE"
"24","ODISHA","2403","KENDUJHAR"
"24","ODISHA","2404","MAYURBHANJ"
"24","ODISHA","2416","DEOGARH"
"24","ODISHA","2417","BHADRAK"
"24","ODISHA","2430","NABARANGAPUR"
"26","PUNJAB","2603","FEROZEPUR"
"26","PUNJAB","2607","HOSHIARPUR"
"27","RAJASTHAN","2703","BIKANER"
"27","RAJASTHAN","2723","BUNDI"
"27","RAJASTHAN","2728","BANSWARA"
"27","RAJASTHAN","2730","KOTA"
"27","RAJASTHAN","2732","JHALAWAR"
"29","TAMIL NADU","2902","TIRUVALLUR"
"29","TAMIL NADU","2905","VELLORE"
"29","TAMIL NADU","2907","SALEM"
"29","TAMIL NADU","2915","TIRUVARUR"
"29","TAMIL NADU","2916","TIRUCHIRAPPALLI"
"29","TAMIL NADU","2931","ARIYALUR"
"29","TAMIL NADU","2937","KALLAKURICHI"
"29","TAMIL NADU","2938","MAYILADUTHURAI"
"30","TRIPURA","3006","Khowai"
"30","TRIPURA","3008","Gomati"
"31","UTTAR PRADESH","3117","BULANDSHAHR"
"31","UTTAR PRADESH","3118","ALIGARH"
"31","UTTAR PRADESH","3124","BUDAUN"
"31","UTTAR PRADESH","3125","BAREILLY"
"31","UTTAR PRADESH","3128","KHERI"
"31","UTTAR PRADESH","3129","SITAPUR"
"31","UTTAR PRADESH","3133","RAE BARELI"
"31","UTTAR PRADESH","3136","KANPUR DEHAT"
"31","UTTAR PRADESH","3141","HAMIRPUR"
"31","UTTAR PRADESH","3142","BANDA"
"31","UTTAR PRADESH","3143","FATEHPUR"
"31","UTTAR PRADESH","3149","AYODHYA"
"31","UTTAR PRADESH","3152","MAHARAJGANJ"
"31","UTTAR PRADESH","3157","AZAMGARH"
"31","UTTAR PRADESH","3158","JAUNPUR"
"31","UTTAR PRADESH","3161","VARANASI"
"31","UTTAR PRADESH","3166","HATHRAS"
"31","UTTAR PRADESH","3169","AURAIYA"
"31","UTTAR PRADESH","3170","KAUSHAMBI"
"31","UTTAR PRADESH","3173","SANT RAVIDAS NAGAR"
"31","UTTAR PRADESH","3176","SHRAVASTI"
"31","UTTAR PRADESH","3182","HAPUR"
"31","UTTAR PRADESH","3183","SHAMLI"
"31","UTTAR PRADESH","3184","SAMBHAL"
"32","WEST BENGAL","3211","PURBA MEDINIPUR"
"32","WEST BENGAL","3212","MURSHIDABAD"
"32","WEST BENGAL","3214","PURULIA"
"32","WEST BENGAL","3216","24 PARGANAS SOUTH"
"32","WEST BENGAL","3219","Darjeeling Gorkha Hill Council (DGHC)"
"33","CHHATTISGARH","3308","KORBA"
"33","CHHATTISGARH","3309","DHAMTARI"
"33","CHHATTISGARH","3310","KANKER"
"33","CHHATTISGARH","3312","DANTEWADA"
"33","CHHATTISGARH","3322","BALOD"
"33","CHHATTISGARH","3324","SUKMA"
"33","CHHATTISGARH","3327","BALRAMPUR"
"33","CHHATTISGARH","3329","SAKTI"
"33","CHHATTISGARH","3332","SARANGARH BILAIGARH"
"33","CHHATTISGARH","3333","MANENDRAGARH CHIRMIRI BHARATPUR"
"34","JHARKHAND","3401","RANCHI"
"34","JHARKHAND","3405","PALAMU"
"34","JHARKHAND","3412","JAMTARA"
